Make ,Model,Vehicle Class,Weight (Ton),Steel percentage,Glass percentage,Plastic percentage,Aluminium Percentage,CO2 of steel/unit,CO2 of glass/unit,CO2 of aluminium/unit,CO2 of plastic/unit,MFG Total CO2/unit (ton),MFG Total CO2/unit (g),Recycling CO2 steel (.35),R CO2 alumunium 0.5,R glass (1.08),R plastic (2.1),Recycling Total CO2 in ton,
Hyundai ,IONIQ 5,SUV - SMALL,2.331,65.00%,10.00%,15.00%,10.00%,2.8030275,0.291375,2.68065,1.04895,6.8240025,6190632.708,0.5303025,0.11655,0.251748,0.734265,1.6328655,8.456868
ACURA,ILX,COMPACT,1.574,65.00%,10.00%,15.00%,10.00%,1.892735,0.19675,1.8101,0.7083,4.607885,4180204.154,0.358085,0.0787,0.169992,0.49581,1.102587,5.710472
ACURA,ILX,COMPACT,1.574,65.00%,10.00%,15.00%,10.00%,1.892735,0.19675,1.8101,0.7083,4.607885,4180204.154,0.358085,0.0787,0.169992,0.49581,1.102587,5.710472
ACURA,ILX HYBRID,COMPACT,1.574,65.00%,10.00%,15.00%,10.00%,1.892735,0.19675,1.8101,0.7083,4.607885,4180204.154,0.358085,0.0787,0.169992,0.49581,1.102587,5.710472
ACURA,MDX 4WD,SUV - SMALL,2.304,65.00%,10.00%,15.00%,10.00%,2.77056,0.288,2.6496,1.0368,6.74496,6118926.538,0.52416,0.1152,0.248832,0.72576,1.613952,8.358912
ACURA,RDX AWD,SUV - SMALL,2.0125,65.00%,10.00%,15.00%,10.00%,2.42003125,0.2515625,2.314375,0.905625,5.89159375,5344765.476,0.45784375,0.100625,0.21735,0.6339375,1.40975625,7.30135
ACURA,RLX,MID-SIZE,1.9885,65.00%,10.00%,15.00%,10.00%,2.39117125,0.2485625,2.286775,0.894825,5.82133375,5281026.658,0.45238375,0.099425,0.214758,0.6263775,1.39294425,7.214278
ACURA,TL,MID-SIZE,2.0005,65.00%,10.00%,15.00%,10.00%,2.40560125,0.2500625,2.300575,0.900225,5.85646375,5312896.067,0.45511375,0.100025,0.216054,0.6301575,1.40135025,7.257814
ACURA,TL AWD,MID-SIZE,1.984,65.00%,10.00%,15.00%,10.00%,2.38576,0.248,2.2816,0.8928,5.80816,5269075.63,0.45136,0.0992,0.214272,0.62496,1.389792,7.197952
ACURA,TL AWD,MID-SIZE,1.984,65.00%,10.00%,15.00%,10.00%,2.38576,0.248,2.2816,0.8928,5.80816,5269075.63,0.45136,0.0992,0.214272,0.62496,1.389792,7.197952
ACURA,TSX,COMPACT,1.84,65.00%,10.00%,15.00%,10.00%,2.2126,0.23,2.116,0.828,5.3866,4886642.721,0.4186,0.092,0.19872,0.5796,1.28892,6.67552
ACURA,TSX,COMPACT,1.84,65.00%,10.00%,15.00%,10.00%,2.2126,0.23,2.116,0.828,5.3866,4886642.721,0.4186,0.092,0.19872,0.5796,1.28892,6.67552
ACURA,TSX,COMPACT,1.84,65.00%,10.00%,15.00%,10.00%,2.2126,0.23,2.116,0.828,5.3866,4886642.721,0.4186,0.092,0.19872,0.5796,1.28892,6.67552
ALFA ROMEO,4C,TWO-SEATER,1.2435,65.00%,10.00%,15.00%,10.00%,1.49530875,0.1554375,1.430025,0.559575,3.64034625,3302467.513,0.28289625,0.062175,0.134298,0.3917025,0.87107175,4.511418
