,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Consumption City MPG,Fuel Consumption Hwy MPG,Carbon emissions per mile(g)
5930,hyundai,elantra,FULL-SIZE,2.0,4.0,AS6,Regular Gasoline,9.4,7.1,8.4,34,25.0,33.0,261.4705882352941
5931,hyundai,elantra,FULL-SIZE,2.0,4.0,M6,Regular Gasoline,9.8,7.4,8.7,32,24.0,32.0,277.8125
5932,hyundai,ioniq,FULL-SIZE,1.6,4.0,AM6,Regular Gasoline,4.3,4.4,4.3,66,55.0,53.0,134.6969696969697
5933,hyundai,ioniq,FULL-SIZE,1.6,4.0,AM6,Regular Gasoline,4.2,4.0,4.1,69,56.0,59.0,128.84057971014494
5934,hyundai,kona,SUV - SMALL,2.0,4.0,AS6,Regular Gasoline,8.6,7.0,7.9,36,27.0,34.0,246.94444444444443
5935,hyundai,kona,SUV - SMALL,1.6,4.0,AM7,Regular Gasoline,9.0,8.0,8.6,33,26.0,29.0,269.3939393939394
5936,hyundai,kona,SUV - SMALL,2.0,4.0,AS6,Regular Gasoline,9.2,7.8,8.6,33,26.0,30.0,269.3939393939394
5937,hyundai,santa,SUV - SMALL,2.4,4.0,AS8,Regular Gasoline,10.8,8.0,9.6,29,22.0,29.0,306.55172413793105
5938,hyundai,santa,SUV - SMALL,2.0,4.0,AS8,Regular Gasoline,12.3,9.8,11.2,25,19.0,24.0,355.6
5939,hyundai,santa,SUV - SMALL,2.4,4.0,AS8,Regular Gasoline,11.2,8.7,10.1,28,21.0,27.0,317.5
5940,hyundai,santa,SUV - SMALL,3.3,6.0,AS6,Regular Gasoline,13.2,9.4,11.5,25,18.0,25.0,355.6
5941,hyundai,santa,SUV - SMALL,3.3,6.0,AS6,Regular Gasoline,13.4,9.7,11.7,24,18.0,24.0,370.41666666666663
5942,hyundai,santa,SUV - SMALL,3.3,6.0,AS6,Regular Gasoline,14.1,10.8,12.6,22,17.0,22.0,404.0909090909091
5943,hyundai,sonata,FULL-SIZE,2.0,4.0,AS8,Regular Gasoline,10.4,7.4,9.1,31,23.0,32.0,286.7741935483871
5944,hyundai,sonata,FULL-SIZE,2.4,4.0,AS6,Regular Gasoline,9.3,7.1,8.3,34,25.0,33.0,261.4705882352941
5945,hyundai,sonata,FULL-SIZE,2.4,4.0,AS6,Regular Gasoline,9.2,6.8,8.1,35,26.0,35.0,254.0
5946,hyundai,sonata,MID-SIZE,2.0,4.0,AM6,Regular Gasoline,6.0,5.3,5.7,50,39.0,44.0,177.8
5947,hyundai,sonata,MID-SIZE,2.0,4.0,AM6,Regular Gasoline,5.9,5.1,5.6,50,40.0,46.0,177.8
5948,hyundai,tucson,SUV - SMALL,2.0,4.0,AS6,Regular Gasoline,10.0,7.9,9.1,31,24.0,30.0,286.7741935483871
5949,hyundai,tucson,SUV - SMALL,2.0,4.0,AS6,Regular Gasoline,10.8,9.2,10.1,28,22.0,26.0,317.5
5950,hyundai,tucson,SUV - SMALL,2.4,4.0,AS6,Regular Gasoline,11.0,9.1,10.1,28,21.0,26.0,317.5
5951,hyundai,veloster,COMPACT,2.0,4.0,AS6,Regular Gasoline,9.1,7.1,8.2,34,26.0,33.0,261.4705882352941
5952,hyundai,veloster,COMPACT,2.0,4.0,M6,Regular Gasoline,9.4,7.1,8.4,34,25.0,33.0,261.4705882352941
5953,hyundai,veloster,COMPACT,2.0,4.0,M6,Regular Gasoline,10.6,8.3,9.5,30,22.0,28.0,296.3333333333333
5954,hyundai,veloster,COMPACT,1.6,4.0,AM7,Regular Gasoline,8.5,6.9,7.8,36,28.0,34.0,246.94444444444443
5955,hyundai,veloster,COMPACT,1.6,4.0,M6,Regular Gasoline,9.4,7.0,8.3,34,25.0,34.0,261.4705882352941
5956,infiniti,q50,MID-SIZE,2.0,4.0,AS7,Premium Gasoline,10.7,8.6,9.7,29,22.0,27.0,306.55172413793105
5957,infiniti,q50,MID-SIZE,3.0,6.0,AS7,Premium Gasoline,12.4,8.7,10.8,26,19.0,27.0,341.92307692307696
5958,infiniti,q50,MID-SIZE,3.0,6.0,AS7,Premium Gasoline,12.5,9.3,11.1,25,19.0,25.0,355.6
5959,infiniti,q60,SUBCOMPACT,2.0,4.0,AS7,Premium Gasoline,11.2,8.5,10.0,28,21.0,28.0,317.5
5960,infiniti,q60,SUBCOMPACT,3.0,6.0,AS7,Premium Gasoline,12.3,8.7,10.7,26,19.0,27.0,341.92307692307696
5961,infiniti,q60,SUBCOMPACT,3.0,6.0,AS7,Premium Gasoline,12.5,9.2,11.0,26,19.0,26.0,341.92307692307696
5962,infiniti,q70,MID-SIZE,3.7,6.0,AS7,Premium Gasoline,13.2,9.8,11.7,24,18.0,24.0,370.41666666666663
5963,infiniti,q70,MID-SIZE,5.6,8.0,AS7,Premium Gasoline,14.9,10.2,12.8,22,16.0,23.0,404.0909090909091
5964,infiniti,qx50,SUV - SMALL,2.0,4.0,AV8,Premium Gasoline,10.0,7.8,9.0,31,24.0,30.0,286.7741935483871
5965,infiniti,qx60,SUV - SMALL,3.5,6.0,AV7,Premium Gasoline,12.5,9.0,10.9,26,19.0,26.0,341.92307692307696
5966,infiniti,qx80,SUV - STANDARD,5.6,8.0,AS7,Premium Gasoline,17.4,12.2,15.1,19,14.0,19.0,467.89473684210526
5967,jaguar,e-pace,SUV - SMALL,2.0,4.0,AS9,Premium Gasoline,11.0,8.4,9.8,29,21.0,28.0,306.55172413793105
5968,jaguar,f-pace,SUV - SMALL,2.0,4.0,AS8,Diesel,8.9,7.2,8.1,35,26.0,33.0,290.85714285714283
5969,jaguar,f-pace,SUV - SMALL,2.0,4.0,AS8,Premium Gasoline,10.7,8.8,9.9,29,22.0,27.0,306.55172413793105
5970,jaguar,f-pace,SUV - SMALL,3.0,6.0,AS8,Premium Gasoline,13.3,10.0,11.8,24,18.0,24.0,370.41666666666663
5971,jaguar,f-type,TWO-SEATER,2.0,4.0,AS8,Premium Gasoline,10.2,7.8,9.2,31,23.0,30.0,286.7741935483871
5972,jaguar,f-type,TWO-SEATER,3.0,6.0,AS8,Premium Gasoline,11.9,8.5,10.4,27,20.0,28.0,329.25925925925924
5973,jaguar,f-type,TWO-SEATER,3.0,6.0,M6,Premium Gasoline,14.9,9.8,12.6,22,16.0,24.0,404.0909090909091
5974,jaguar,f-type,TWO-SEATER,3.0,6.0,AS8,Premium Gasoline,12.4,8.8,10.8,26,19.0,27.0,341.92307692307696
5975,jaguar,f-type,TWO-SEATER,3.0,6.0,M6,Premium Gasoline,15.3,10.0,12.9,22,15.0,24.0,404.0909090909091
5976,jaguar,f-type,TWO-SEATER,3.0,6.0,AS8,Premium Gasoline,13.0,9.2,11.3,25,18.0,26.0,355.6
